,nmscale,darkline,baseline,p1
292,733.8861082000001,3923.0,0.0,3915
293,733.8706012,3922.0,0.0,3915
294,733.8549279,3924.0,0.0,3920
295,733.8390887,3925.0,0.0,3916
296,733.8230835,3923.0,0.0,3913
297,733.8069126,3922.0,0.0,3920
298,733.7905761,3922.0,0.0,3916
299,733.7740742000001,3926.0,0.0,3920
300,733.7574069,3924.0,0.0,3915
301,733.7405746000001,3924.0,0.0,3920
302,733.7235772000001,3926.0,0.0,3916
303,733.7064149,3928.0,0.0,3920
304,733.689088,3925.0,0.0,3920
305,733.6715965,3925.0,0.0,3914
306,733.6539407,3922.0,0.0,3916
307,733.6361205000001,3924.0,0.0,3920
308,733.6181363,3922.0,0.0,3916
309,733.5999881,3924.0,0.0,3914
310,733.5816762000001,3923.0,0.0,3916
311,733.5632005,3922.0,0.0,3920
312,733.5445614,3926.0,0.0,3915
313,733.5257588999999,3926.0,0.0,3915
314,733.5067932,3920.0,0.0,3915
315,733.4876644999999,3925.0,0.0,3920
316,733.4683727999999,3925.0,0.0,3916
317,733.4489183999999,3927.0,0.0,3915
318,733.4293012999999,3924.0,0.0,3920
319,733.4095218,3924.0,0.0,3920
320,733.38958,3926.0,0.0,3916
321,733.3694761,3926.0,0.0,3920
322,733.3492100999999,3924.0,0.0,3912
323,733.3287822000001,3925.0,0.0,3920
324,733.3081926,3923.0,0.0,3920
325,733.2874414,3925.0,0.0,3915
326,733.2665289,3929.0,0.0,3920
327,733.245455,3925.0,0.0,3920
328,733.2242200000001,3924.0,0.0,3920
329,733.2028240000001,3926.0,0.0,3914
330,733.1812672,3920.0,0.0,3915
331,733.1595497000001,3922.0,0.0,3920
332,733.1376717,3922.0,0.0,3912
333,733.1156332,3923.0,0.0,3920
334,733.0934346,3924.0,0.0,3920
335,733.0710757999999,3924.0,0.0,3914
336,733.0485571,3924.0,0.0,3920
337,733.0258786,3924.0,0.0,3920
338,733.0030404,3924.0,0.0,3920
339,732.9800427,3923.0,0.0,3920
340,732.9568856000001,3927.0,0.0,3914
341,732.9335694,3922.0,0.0,3920
342,732.9100941,3925.0,0.0,3920
343,732.8864597999999,3924.0,0.0,3915
344,732.8626667999999,3924.0,0.0,3914
345,732.8387151000001,3924.0,0.0,3920
346,732.814605,3926.0,0.0,3910
347,732.7903366,3922.0,0.0,3920
348,732.7659099,3924.0,0.0,3912
349,732.7413252,3925.0,0.0,3913
350,732.7165826,3924.0,0.0,3916
351,732.6916823,3930.0,0.0,3916
352,732.6666244,3927.0,0.0,3920
353,732.641409,3922.0,0.0,3920
354,732.6160363,3924.0,0.0,3920
355,732.5905064,3926.0,0.0,3920
356,732.5648196000001,3924.0,0.0,3915
357,732.5389757999999,3926.0,0.0,3916
358,732.5129753,3920.0,0.0,3920
359,732.4868183,3926.0,0.0,3916
360,732.4605048,3922.0,0.0,3920
361,732.434035,3926.0,0.0,3915
362,732.4074091,3922.0,0.0,3920
363,732.3806271000001,3924.0,0.0,3922
364,732.3536893999999,3926.0,0.0,3916
365,732.3265959,3924.0,0.0,3915
366,732.2993468,3924.0,0.0,3915
367,732.2719424,3924.0,0.0,3920
368,732.2443827000001,3924.0,0.0,3920
369,732.2166678,3923.0,0.0,3913
370,732.188798,3922.0,0.0,3915
371,732.1607733,3921.0,0.0,3920
372,732.1325939,3925.0,0.0,3911
373,732.10426,3924.0,0.0,3916
374,732.0757717,3924.0,0.0,3914
375,732.0471291,3925.0,0.0,3920
376,732.0183324,3924.0,0.0,3920
377,731.9893817000001,3921.0,0.0,3920
378,731.9602772999999,3926.0,0.0,3916
379,731.9310191000001,3926.0,0.0,3916
380,731.9016074,3922.0,0.0,3920
381,731.8720423,3927.0,0.0,3914
382,731.8423240000001,3921.0,0.0,3920
383,731.8124525000001,3922.0,0.0,3916
384,731.7824281000001,3925.0,0.0,3920
385,731.7522508999999,3925.0,0.0,3920
386,731.721921,3925.0,0.0,3913
387,731.6914386,3924.0,0.0,3920
388,731.6608037999999,3921.0,0.0,3915
389,731.6300167999999,3925.0,0.0,3920
390,731.5990776000001,3926.0,0.0,3915
391,731.5679865000001,3923.0,0.0,3920
392,731.5367436,3922.0,0.0,3920
393,731.5053491,3926.0,0.0,3916
394,731.473803,3926.0,0.0,3916
395,731.4421055,3923.0,0.0,3920
396,731.4102568,3924.0,0.0,3916
397,731.3782570000001,3922.0,0.0,3920
398,731.3461062999999,3924.0,0.0,3916
399,731.3138047,3924.0,0.0,3920
400,731.2813525,3924.0,0.0,3914
401,731.2487497999999,3926.0,0.0,3920
402,731.2159967,3922.0,0.0,3912
403,731.1830932999999,3928.0,0.0,3920
404,731.1500399,3926.0,0.0,3914
405,731.1168365,3924.0,0.0,3914
406,731.0834832,3925.0,0.0,3916
407,731.0499804,3928.0,0.0,3916
408,731.016328,3923.0,0.0,3914
409,730.9825262,3921.0,0.0,3916
410,730.9485752,3926.0,0.0,3916
411,730.9144751,3930.0,0.0,3914
412,730.880226,3924.0,0.0,3914
413,730.8458281000001,3923.0,0.0,3915
414,730.8112816,3922.0,0.0,3912
415,730.7765865,3920.0,0.0,3916
416,730.7417429999999,3924.0,0.0,3914
417,730.7067513,3927.0,0.0,3916
418,730.6716115,3924.0,0.0,3914
419,730.6363237,3928.0,0.0,3920
420,730.6008881,3923.0,0.0,3914
421,730.5653047999999,3924.0,0.0,3920
422,730.529574,3922.0,0.0,3913
423,730.4936958,3923.0,0.0,3918
424,730.4576703,3924.0,0.0,3914
425,730.4214977999999,3922.0,0.0,3920
426,730.3851782,3923.0,0.0,3914
427,730.3487117999999,3926.0,0.0,3915
428,730.3120988,3921.0,0.0,3914
429,730.2753391,3920.0,0.0,3915
430,730.2384331000001,3924.0,0.0,3912
431,730.2013807999999,3924.0,0.0,3914
432,730.1641824,3925.0,0.0,3914
433,730.126838,3926.0,0.0,3912
434,730.0893477000001,3922.0,0.0,3920
435,730.0517117,3925.0,0.0,3913
436,730.0139302,3924.0,0.0,3914
437,729.9760032,3926.0,0.0,3912
438,729.9379309999999,3924.0,0.0,3920
439,729.8997136,3926.0,0.0,3910
440,729.8613512000001,3926.0,0.0,3912
441,729.822844,3924.0,0.0,3916
442,729.784192,3924.0,0.0,3916
443,729.7453954,3924.0,0.0,3915
444,729.7064544,3920.0,0.0,3912
445,729.6673691000001,3922.0,0.0,3916
446,729.6281396,3924.0,0.0,3916
447,729.5887661,3926.0,0.0,3920
448,729.5492488,3926.0,0.0,3914
449,729.5095876,3922.0,0.0,3916
450,729.4697829,3925.0,0.0,3914
451,729.4298347,3924.0,0.0,3914
452,729.3897432,3920.0,0.0,3913
453,729.3495084,3926.0,0.0,3914
454,729.3091307,3925.0,0.0,3912
455,729.26861,3924.0,0.0,3912
456,729.2279465,3924.0,0.0,3914
457,729.1871405,3924.0,0.0,3913
458,729.1461919,3921.0,0.0,3912
459,729.105101,3921.0,0.0,3914
460,729.0638677999999,3924.0,0.0,3915
461,729.0224926,3922.0,0.0,3914
462,728.9809755,3926.0,0.0,3912
463,728.9393165,3926.0,0.0,3920
464,728.8975159,3924.0,0.0,3914
465,728.8555737,3924.0,0.0,3913
466,728.8134902,3922.0,0.0,3914
467,728.7712655,3924.0,0.0,3920
468,728.7288996,3924.0,0.0,3912
469,728.6863927,3922.0,0.0,3915
470,728.6437451,3922.0,0.0,3911
471,728.6009567000001,3925.0,0.0,3920
472,728.5580278,3926.0,0.0,3915
473,728.5149584,3924.0,0.0,3914
474,728.4717488,3923.0,0.0,3914
475,728.4283991000001,3924.0,0.0,3914
476,728.3849092999999,3922.0,0.0,3913
477,728.3412797,3924.0,0.0,3912
478,728.2975102999999,3925.0,0.0,3914
479,728.2536014,3924.0,0.0,3913
480,728.209553,3926.0,0.0,3913
481,728.1653652000001,3924.0,0.0,3914
482,728.1210382999999,3924.0,0.0,3914
483,728.0765723999999,3923.0,0.0,3915
484,728.0319675,3924.0,0.0,3914
485,727.9872239,3926.0,0.0,3912
486,727.9423417,3925.0,0.0,3916
487,727.897321,3921.0,0.0,3913
488,727.8521618999999,3924.0,0.0,3913
489,727.8068645,3922.0,0.0,3915
490,727.7614292000001,3922.0,0.0,3910
491,727.7158557999999,3923.0,0.0,3910
492,727.6701447,3922.0,0.0,3913
493,727.6242957999999,3924.0,0.0,3910
494,727.5783094999999,3924.0,0.0,3914
495,727.5321857000001,3924.0,0.0,3914
496,727.4859247,3924.0,0.0,3914
497,727.4395264999999,3926.0,0.0,3911
498,727.3929914,3924.0,0.0,3911
499,727.3463194,3924.0,0.0,3914
500,727.2995106000001,3923.0,0.0,3910
501,727.2525653,3924.0,0.0,3915
502,727.2054836,3922.0,0.0,3909
503,727.1582655,3923.0,0.0,3915
504,727.1109112,3924.0,0.0,3910
505,727.063421,3926.0,0.0,3914
506,727.0157948,3925.0,0.0,3915
507,726.9680328,3924.0,0.0,3914
508,726.9201352000001,3925.0,0.0,3910
509,726.8721021000001,3923.0,0.0,3910
510,726.8239337,3920.0,0.0,3914
